msisdn,gender,year_of_birth,system_status,mobile_type,value_segment
1b30ef0a7299388450e0ff4c95ce6ee4,,1995,ACTIVE,Prepaid,Tier_3
2c4e87998d22d50e01eb284366f85cf1,Male,1981,ACTIVE,Prepaid,Tier_3
5cd26f9955b6af29eee0300a6012116d,Not Available,1994,ACTIVE,Prepaid,Tier_3
bc3c02ff18bd32d1b18454c6bd5a0279,Not Available,1992,ACTIVE,Prepaid,Tier_3
7599dd3083af1687dc658a7050604fe2,Male,1980,ACTIVE,Prepaid,Tier_3
7e3359e2a2c8e7f9ca6dcd1fbfd6336d,Not Available,1991,ACTIVE,Prepaid,Tier_3
2b5361cf425837942dbd7850b04dc4b2,,1991,ACTIVE,Prepaid,Tier_3
12363b2da04ca0273aa369ef04aa298b,MALE,1990,ACTIVE,Prepaid,Tier_3
eeaee0e79f76b8c92d1dc56cc2bff46b,MALE,1994,ACTIVE,Prepaid,Tier_3
2ae20d43aafc753dade12256f1852f13,,1987,ACTIVE,Prepaid,Tier_3
e89f0e6d8a76f7f040b6247368a8b562,MALE,1991,ACTIVE,Prepaid,Tier_3
9dd0b13e92a7295d3269d197e86ea326,MALE,1976,ACTIVE,Prepaid,Tier_3
2fa5b2ea82b38f18cce0ddf80367a7b3,Male,1980,ACTIVE,Prepaid,Tier_3
4d750a4e507081e0352a34b2c0cdd821,Not Available,1979,ACTIVE,Prepaid,Tier_3
45d2aa31a98c93f7a534ac8d0fc3aa19,Not Available,1983,ACTIVE,Prepaid,Tier_3
406faa879243b7a96742bb04462f2290,MALE,1971,ACTIVE,Prepaid,Tier_3
9e62dbdef024aec8b006ea965e993a40,Female,1992,ACTIVE,Prepaid,Tier_3
26ce77082844c190b0a7a5749f8ab717,,1989,ACTIVE,Postpaid,Tier_3
87c2ebf55b65be7fdb92228c6602a2ea,Not Available,1971,ACTIVE,Prepaid,Tier_3
bdee83b38c233dea97801c0ec9634616,Female,1981,ACTIVE,Prepaid,Tier_3
cdc949cd8e14a2a05e809469ec1b9e87,Male,1959,ACTIVE,Prepaid,Tier_3
ee9963672def08c50e9b955e21024dcc,Male,1987,ACTIVE,Prepaid,Tier_3
9597f34597b43b8c8992aff02f5d6f4d,Male,1995,ACTIVE,Prepaid,Tier_3
c83a8a3e06923aafb35cc21327f276b9,MALE,1986,ACTIVE,Prepaid,Tier_3
28123a74c6ed6d4241c650014eae7a38,Male,1990,ACTIVE,Prepaid,Tier_3
edac35346675485bbbc791dc5542119e,Not Available,1983,ACTIVE,Prepaid,Tier_3
69dde384d0916b71be3c626869528009,,1994,ACTIVE,Prepaid,Tier_3
f49c38dc2b6ea7882c5e730ecd3a988e,MALE,1992,ACTIVE,Prepaid,Tier_3
d443a3c7ad924209996e75dd252b1d39,Not Available,1982,ACTIVE,Prepaid,Tier_3
27eac20a49e8439c1996ae75220bc12c,Not Available,1993,ACTIVE,Prepaid,Tier_3
34bd05d66f554b1b89601c4f42849caa,Male,1976,ACTIVE,Prepaid,Tier_3
aaf6832723542eb233f2a393532272a6,Not Available,1967,ACTIVE,Prepaid,Tier_3
71a3f944c0a306f1dd2a513d388ac98a,,1977,ACTIVE,Prepaid,Tier_3
d55563bb4f29480406557d5953d0602f,Male,1973,ACTIVE,Prepaid,Tier_3
549f9529ad0cee1b29dc6dee2a2c3756,Male,1982,ACTIVE,Prepaid,Tier_3
b705887e1a17f04f7900f9ddd339ca4d,Not Available,1974,ACTIVE,Prepaid,Tier_3
cb8b185160f0ce9ac33329f55c50aa7d,Male,1957,ACTIVE,Prepaid,Tier_3
d3821babd6608e966fc0f9f4c2a09769,MALE,1953,ACTIVE,Prepaid,Tier_3
6b69aaf80c8804b84db15b42d4899c7f,MALE,1986,ACTIVE,Prepaid,Tier_3
ca74bd5bd6d2b0c623bd609ad731b658,MALE,1989,ACTIVE,Prepaid,Tier_3
fa755a0e8cb16865aecf0787a5d19bf4,,1986,ACTIVE,Prepaid,Tier_3
31544d2bb85b79bdf52f41370f7cd17c,,1982,ACTIVE,Prepaid,Tier_3
62208554c9e0731fe0635eb27007f7de,FEMALE,1986,ACTIVE,Prepaid,Tier_3
02fa98090227e68048c764c21f336814,FEMALE,1988,ACTIVE,Prepaid,Tier_3
7c3370be9584acaa4116a2b09886002d,MALE,1985,ACTIVE,Prepaid,Tier_3
53060e36802f65a7c68289393035014b,,1993,ACTIVE,Prepaid,Tier_3
f75c5ab82366d7a96c0013615deae444,FEMALE,1982,ACTIVE,Prepaid,Tier_3
348832d3907c3be0b3f96c17f7279007,,1983,ACTIVE,Prepaid,Tier_3
c73ef7baa2cc436b8543e5dccbba07d8,MALE,1991,ACTIVE,Prepaid,Tier_3
db37b2024e50ed7b8b3fd394a3caa783,MALE,1993,ACTIVE,Prepaid,Tier_3
cb6aa506f53c9d70b35639ac021d4e3b,MALE,1981,ACTIVE,Prepaid,Tier_3
06065e00b7d711bc4e8994ecb392b862,MALE,1981,ACTIVE,Prepaid,Tier_3
0bd182b4a27a1a73c142beb6fcee29c0,MALE,1965,ACTIVE,Prepaid,Tier_3
fae2b791992fcd5e5b43889d4b602f4b,Male,1991,ACTIVE,Prepaid,Tier_3
7b1466286211c3b008113a4136f4f38a,FEMALE,1982,ACTIVE,Prepaid,Tier_3
5b9b055e432b0af6f923e7378304dee0,MALE,1985,ACTIVE,Prepaid,Tier_3
0418ca84a286c3313c2a111dfddd2dc6,FEMALE,1983,ACTIVE,Prepaid,Tier_3
5f88139f9f1f0c86658c087dcd253867,MALE,1955,ACTIVE,Prepaid,Tier_3
dc5d89471b2435c38da122baf6fb04a7,MALE,1991,ACTIVE,Prepaid,Tier_3
08ba2de9941c50a79074e9dd70a30c8b,,1987,ACTIVE,Prepaid,Tier_3
39a3b4fd18697a1ade1e2601b8997b13,FEMALE,1985,ACTIVE,Prepaid,Tier_3
b5e32e0be672cdc63b7b237cbf824ec2,FEMALE,1977,ACTIVE,Prepaid,Tier_3
5da51fc48f5268776a61300f1fa8bd22,MALE,1984,ACTIVE,Prepaid,Tier_3
f76f87c64bbe5bc026ae8082ec042727,MALE,1989,ACTIVE,Prepaid,Tier_3
5ab240d6f7e938188e5df7e77270927e,MALE,1994,ACTIVE,Prepaid,Tier_3
622026ed378a89ff9907b4e1ae401445,MALE,1963,ACTIVE,Prepaid,Tier_3
3e9711dcb2101f04084ca125e647eb34,MALE,1936,ACTIVE,Prepaid,Tier_3
9809b5c70bacb636287f644a36774605,MALE,1987,ACTIVE,Prepaid,Tier_3
3c683bc373e7a18559d3cbd038e51039,MALE,1985,ACTIVE,Prepaid,Tier_3
d2367469bae67be73925840f798e00ef,MALE,1959,ACTIVE,Prepaid,Tier_3
b2326730e7e397f7a9f0dc7dd7b6cb5d,FEMALE,1974,ACTIVE,Prepaid,Tier_3
33e321f642c90558ec265797c37afdbd,,1984,ACTIVE,Prepaid,Tier_3
4354b7739643fcdab1db5488446cdc5d,,1997,ACTIVE,Prepaid,Tier_3
f6122d98d2fc568f0da4a6ff114918a3,MALE,1978,ACTIVE,Prepaid,Tier_3
81483a899e2f71445d70d5f1babb147e,MALE,1970,ACTIVE,Prepaid,Tier_3
d3f3db1cbf5e2cfc577ed0ea15f55f6b,FEMALE,1983,ACTIVE,Prepaid,Tier_3
6a5369b5d8f2d842a62711efad99b92d,FEMALE,1988,ACTIVE,Prepaid,Tier_3
eb5f25d0bfe55fea354f9b62212d4a90,,1997,ACTIVE,Prepaid,Tier_3
b672b680f5d59f52e2fbc8ecc1a2226e,MALE,1963,ACTIVE,Prepaid,Tier_3
3ce980621a70104d3e811b697713dfd2,MALE,1988,ACTIVE,Prepaid,Tier_3
4bbd3679aedd29996f343b12ddda222b,MALE,1985,ACTIVE,Prepaid,Tier_3
6a2dac5871a3d102cbe34c7d05624baf,FEMALE,1977,ACTIVE,Prepaid,Tier_3
6dcc405cd4eb7037ae20102bdfd06584,,1993,ACTIVE,Prepaid,Tier_3
ff99051b3bc911c63c6a2f5dc823de01,,1997,ACTIVE,Prepaid,Tier_3
11ecaa6e072b2495376474739032169a,MALE,1988,ACTIVE,Prepaid,Tier_3
76e66a24ce20bddb7dcf88fab881bd2c,MALE,1960,ACTIVE,Prepaid,Tier_3
cee5c59fb2aa292a6bc0c599bcc59ae5,MALE,1988,ACTIVE,Prepaid,Tier_3
32f339f1e60a963521191373e5d117ac,MALE,1958,ACTIVE,Prepaid,Tier_3
705b70c12a77d81ee473bc9ac86bbe0c,MALE,1989,ACTIVE,Prepaid,Tier_3
76e61e3a6690f7ef5b6418a7fee6a83f,MALE,1978,ACTIVE,Prepaid,Tier_3
1d91bed632e2444de3cc8cdb44333233,FEMALE,1979,ACTIVE,Prepaid,Tier_3
cdb932c435aeeadd5f4ec299f52f3128,MALE,1994,ACTIVE,Prepaid,Tier_3
23f9d8011f3f1320dfc86715b5e38c8c,FEMALE,1972,ACTIVE,Prepaid,Tier_3
22aa4ef86f47deb0f6a80fb489f97e07,MALE,1977,ACTIVE,Prepaid,Tier_3
5b02728c90363ce7274334e495e668fb,MALE,1986,ACTIVE,Prepaid,Tier_3
14ff61b7495539bcda482146d36284d7,FEMALE,1977,ACTIVE,Prepaid,Tier_3
e42be305f301d2f3e2cc92c53d1de2b0,MALE,1994,ACTIVE,Prepaid,Tier_3
f19708d70b6ae9f1d05facd884b646a7,MALE,1969,ACTIVE,Prepaid,Tier_3
567b6e9b628521fd4fc544d68e51e0f5,MALE,1975,ACTIVE,Prepaid,Tier_3
9559f074c1fe3d337c74f4d9ffecec74,,1961,ACTIVE,Prepaid,Tier_3
ab191633be1923db94528758ac3b96de,MALE,1980,ACTIVE,Prepaid,Tier_3
6f66e009d08d84056c6930d486d4f829,MALE,1966,ACTIVE,Prepaid,Tier_3
38c13d9e35edcc6faf9d0f415c79bbfe,,1994,ACTIVE,Prepaid,Tier_3
6e5e9ee1d2f265fb0bc9fac7b1549fb0,MALE,1975,ACTIVE,Prepaid,Tier_3
dc66c8cc5b6a513f88ed3cdc924e80f4,MALE,1994,ACTIVE,Prepaid,Tier_3
07ecca0982abb8baccab39488467c872,MALE,1985,ACTIVE,Prepaid,Tier_3
bc6f4db505c4fc497b96384c4583e4d1,MALE,1989,ACTIVE,Prepaid,Tier_3
825da76f2b5b5c6b6eaaa18cfb8c6ca2,MALE,1967,ACTIVE,Prepaid,Tier_3
50aeb3da20dc599035a8f9ce6c01c48b,MALE,1936,ACTIVE,Prepaid,Tier_3
69d0bfbbc19cca2a6a6e2dfd9697666c,MALE,1988,ACTIVE,Prepaid,Tier_3
1f8345fe95865034b327ccaeee44756e,MALE,1972,ACTIVE,Prepaid,Tier_3
267fc31dfbc4a9e5b87e7172675cf8c6,FEMALE,1982,ACTIVE,Prepaid,Tier_3
5fd4e170ddf743cce7cf4a00119956be,MALE,1988,ACTIVE,Prepaid,Tier_3
caacddc5829d7f2979078aec3c00c948,MALE,1979,ACTIVE,Prepaid,Tier_3
93e103458382709f0c18b36cae671a3e,MALE,1993,ACTIVE,Prepaid,Tier_3
49f490c381c871d4a7d7763d1f7a4cc0,MALE,1966,ACTIVE,Prepaid,Tier_3
56c3c601005c5e9eb5c41b11015ab5cf,MALE,1991,ACTIVE,Prepaid,Tier_3
d38e57017ae8c4ad08f05d3db3e511a8,FEMALE,1960,ACTIVE,Prepaid,Tier_3
93366d20cd33fa5c0e20ebddffe2adae,FEMALE,1971,ACTIVE,Prepaid,Tier_3
c92109a28d4366636d2a05dcd14c515b,FEMALE,1977,ACTIVE,Prepaid,Tier_3
a4fdf9afceeebbc879f64b1fcbea897b,MALE,1972,ACTIVE,Prepaid,Tier_3
7378c900f63a06eabd95a7d4a0543bdd,MALE,1989,ACTIVE,Prepaid,Tier_3
01459887a844acab42521e4a74f39cf3,MALE,1990,ACTIVE,Prepaid,Tier_3
1319f080c3d43a44cc5363c5e204148e,MALE,1972,ACTIVE,Prepaid,Tier_3
e371fe78c927e91c82e11068e8e3144a,MALE,1965,ACTIVE,Prepaid,Tier_3
c588daa2e084d417e431d71085a88722,,1994,ACTIVE,Prepaid,Tier_3
fec221c589ed9bf309ddc09dfc72da9e,MALE,1988,ACTIVE,Prepaid,Tier_3
289562ce940cf9479b9ab215c992b603,MALE,1996,ACTIVE,Prepaid,Tier_3
407da554181359b84f1868454ecc4607,MALE,1956,ACTIVE,Prepaid,Tier_3
a2a1abc4821c43ef7284abab1c1364ab,MALE,1986,ACTIVE,Prepaid,Tier_3
fe5b0debba3a638aef70d7aec4f14e1d,MALE,1985,ACTIVE,Prepaid,Tier_3
620c7201ef604217c74a409ae6b4a707,,1990,ACTIVE,Prepaid,Tier_3
165950f1c3403ae4ef07bdc3cdef4365,MALE,1987,ACTIVE,Prepaid,Tier_3
babdc7720803d7ac0baf24af30618076,MALE,1982,ACTIVE,Prepaid,Tier_3
5b617da97e7f4dd95b57dbf360cc34a9,MALE,1989,ACTIVE,Prepaid,Tier_3
28b3d58147f43abef9153b9164bf2c36,,1978,ACTIVE,Prepaid,Tier_3
fdee05221dce0521d68d10006fce7012,MALE,1990,ACTIVE,Prepaid,Tier_3
f7d0f4778da844034d3617fdbe09aba2,FEMALE,1957,ACTIVE,Prepaid,Tier_3
6c4d3fa167d76ebbceb0070d79c0f0fd,MALE,1963,ACTIVE,Prepaid,Tier_3
52099b13da1b7fdeb7275d1968cd4fc7,FEMALE,1984,ACTIVE,Prepaid,Tier_3
ce095612aecc6aed4ae3faffcfe764f1,FEMALE,1984,ACTIVE,Prepaid,Tier_3
1af02fcf2ccbe564096e94b9091706c8,MALE,1968,ACTIVE,Prepaid,Tier_3
7f1e223056526baf868e4c6b1fb5a516,MALE,1987,ACTIVE,Prepaid,Tier_3
70da93b48596aaf3999ce30f3d4db1d4,FEMALE,1994,ACTIVE,Prepaid,Tier_3
e2eee4c88a29cb9064920f029d62f699,FEMALE,1982,ACTIVE,Prepaid,Tier_3
f27959ce4fe0f418ce0b3a03771721d7,MALE,1971,ACTIVE,Prepaid,Tier_3
6c59a263144345d3b52f074d0e2491fb,FEMALE,1992,ACTIVE,Prepaid,Tier_3
0704beaaed0700b7c2f3b8a55284e043,MALE,1975,ACTIVE,Prepaid,Tier_3
b79aaf8bbebc4a9bcc105a21ff6e1788,MALE,1983,ACTIVE,Prepaid,Tier_3
e5f4a25b00865b0579cc2351f5b8a98e,FEMALE,1972,ACTIVE,Prepaid,Tier_3
ed84317b615eae0d17beca4e14d4c092,MALE,1990,ACTIVE,Prepaid,Tier_3
4cac751e8992f4b6f2008680a508919a,MALE,1986,ACTIVE,Prepaid,Tier_3
4cac751e8992f4b6f2008680a508919a,MALE,1983,ACTIVE,Prepaid,Tier_3
769f341da8935084b91a22b68dd75af9,FEMALE,1991,ACTIVE,Prepaid,Tier_3
211792c411c4b44aff8a25dc3bdb1041,,1981,ACTIVE,Prepaid,Tier_3
6883826b3077141e8a306c1ea0386752,MALE,1960,ACTIVE,Prepaid,Tier_3
e1c0b44fbc2b1696ff4bd7e6449cb629,MALE,1988,ACTIVE,Prepaid,Tier_3
d33b151d6287ce6b177f16243baa6d1c,FEMALE,1968,ACTIVE,Prepaid,Tier_3
61df8fa9aadd866fee4217f9dc24b73d,MALE,1969,ACTIVE,Prepaid,Tier_3
11dbf564d1155503faf6ba28a53b2f08,MALE,1977,ACTIVE,Prepaid,Tier_3
ec97c96fefda0292d6361ba4a927cbe9,,1977,ACTIVE,Prepaid,Tier_3
df08c2fb210e069ac6fea8d0ba5a3246,MALE,1967,ACTIVE,Prepaid,Tier_3
48f745e876e55d41fefba38b2cf2856c,MALE,1983,ACTIVE,Prepaid,Tier_3
b5e755311e9d1517e482e8d9cff22286,MALE,1986,ACTIVE,Prepaid,Tier_3
1c02503457b40b171531f4a08ff6ab24,,1993,ACTIVE,Prepaid,Tier_3
e603bad2a5d2a1573b29e15e0ad6ad9a,MALE,1962,ACTIVE,Prepaid,Tier_3
ffde1efd062f71d301a7b30c7ba535de,FEMALE,1977,ACTIVE,Prepaid,Tier_3
51c8969df28cbb1dcea19c76c44c6d58,MALE,1987,ACTIVE,Prepaid,Tier_3
2d02dabd8054367c7ae64a6e2812d14b,MALE,1979,ACTIVE,Prepaid,Tier_3
8c640f32d6f842630ad3d032f3fa0b90,MALE,1978,ACTIVE,Prepaid,Tier_3
c252d198cecfaa91a0d92e8a12c444ca,MALE,1971,ACTIVE,Prepaid,Tier_3
db884e5bf07a65ec08a03ff733789fbe,MALE,1973,ACTIVE,Prepaid,Tier_3
f675b3a3f0554f1ba2150151f48ef3b2,MALE,1975,ACTIVE,Prepaid,Tier_3
a4004c0faf53e1bc18f9f814619bd3da,MALE,1984,ACTIVE,Prepaid,Tier_3
5268859f89e9980fd951a2ee278da531,FEMALE,1991,ACTIVE,Prepaid,Tier_3
b8ffdd855f0256a7bd687bbee783bf77,MALE,1986,ACTIVE,Prepaid,Tier_3
6db2feb7989e1d85a26926591b7d66c8,MALE,1996,ACTIVE,Prepaid,Tier_3
150e957699c489eb69bf8a40c47770ee,,1981,ACTIVE,Prepaid,Tier_3
17a705f8449bfa69b22d7453dfcc9e8f,FEMALE,1993,ACTIVE,Prepaid,Tier_3
0a9b0022510ca7eca2f2ba40011803f9,FEMALE,1973,ACTIVE,Prepaid,Tier_3
5bfc208cbd3ef6f111eed590e5d9ce16,FEMALE,1992,ACTIVE,Prepaid,Tier_3
0217fb29fa9a73cde3c042e614cca899,MALE,1963,ACTIVE,Prepaid,Tier_3
dda96a434d21855f60ea25dba84ee0e7,,1987,ACTIVE,Prepaid,Tier_3
45cc6f0aec1f7918e1a34623d9c608b5,MALE,1989,ACTIVE,Prepaid,Tier_3
ff5f2343220435ab8639501f10287709,MALE,1989,ACTIVE,Prepaid,Tier_3
89d154861c7749886f7da5239b093eb9,MALE,1988,ACTIVE,Prepaid,Tier_3
3dfa903fd21a7aac2d8d10dd08a7efd8,MALE,1965,ACTIVE,Prepaid,Tier_3
a0681494806914432c82af512d07a3da,FEMALE,1988,ACTIVE,Prepaid,Tier_3
c10d5f2d7d8abce006385749ba2bbb27,,1986,ACTIVE,Prepaid,Tier_3
c14de931c325840c50377df362334d72,MALE,1989,ACTIVE,Prepaid,Tier_3
98727c301e3dedcc4101d7de706ec76d,MALE,1970,ACTIVE,Prepaid,Tier_3
13b1a7de053b075d22106bd41bd3c0be,MALE,1994,ACTIVE,Prepaid,Tier_3
b0661a618aad985700de61a9c677c622,FEMALE,1985,ACTIVE,Prepaid,Tier_3
deb0657132b92619db3190dbf6f4033b,FEMALE,1992,ACTIVE,Prepaid,Tier_3
c4081932aa2d53d22a5b9c4bcfd7de8c,MALE,1980,ACTIVE,Prepaid,Tier_3
7d3fcd8503714accd29d70c4587dddfa,FEMALE,1985,ACTIVE,Prepaid,Tier_3
0ef10c06a7ff4dabc06cd341a7753a0b,,1992,ACTIVE,Prepaid,Tier_3
8f7ce2f26572c73e6216dd4f77eb7f5f,MALE,1989,ACTIVE,Prepaid,Tier_3
bc51b3224f129b721e3cd9f0187a35a5,FEMALE,1981,ACTIVE,Prepaid,Tier_3
0d7e25501fe9ccf1ba24f478026e6f73,,1978,ACTIVE,Prepaid,Tier_3
449a51ff7a4806dcc01e1bda7515fedd,MALE,1969,ACTIVE,Prepaid,Tier_3
9403deaa37aff4de404778bbb42db7fc,,1990,ACTIVE,Prepaid,Tier_3
