msisdn,imei_tac,brand_name,model_name,os_name,os_vendor
f8b2fe29b2ca1e0bc685c814fd033fe0,1763505e0a70e2ed6763561e3150f332,MICROMAX,X088,Proprietary OS,Proprietary OS
465c7e27f7b51e4c4cf7e231e8e261d9,387411bb982ac7ded5c89fcd22c83839,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
d8f7c21713d16d6441dffddc72a28a98,ac3e6888147027fff3912fd304d15717,ITEL,IT5020,Proprietary OS,Proprietary OS
12cb44138eff6b6f61f39cccbad3abcd,4e90a0d4c97663817a639a85bf31d8e0,HUAWEI,Y5 (2017),Android,Google
483351b7ab287b1da2ac765f73b1d76f,f9676f4bf10656cb09c76511cfd9862d,LAVA,ARC 101,,
76ed97f48f0f3cc754a47775f3b3bc0d,f16733a2b000319dce737c7d416425b1,SYMPHONY,D22,,
861fab14139bb5f1c9af65771ee3b916,1dcf1b0e4122fb3fe2cca8e193661ed0,ITEL,IT5040,,
954c75552a829e724e1d8401e9bef3a8,4a4d862523689744f5dc9b1e7b0e6da2,SAMSUNG,GALAXY J1 (SM-J110HDD),Android,Google
d948d6b9672b5464ef31583ab4dd071b,d311f40280e220b18bd58fd967de1268,XIAOMI,REDMI NOTE 5 (MEE7S),Android,Google
21c932fc3b419b04393b7f7432b72270,aae11d9f32dec67df517863c0c772225,MAXIMUS,M80,Proprietary OS,Proprietary OS
e267b4a6901aa5bf5c4f84e9972be9b1,40c4a81d30666f647e8be9617b5639a6,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
edc63344e8375abc0b96fa4f3523daaf,387411bb982ac7ded5c89fcd22c83839,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
ee784578d3fef64140613f52bfd7e050,16dc9330eacb36714f91861e6187709d,HUAWEI,Y6 II DUAL SIM (CAM-L21),Android,Google
266a9dcfe4d5fece43bf24d9c07b7e0f,134ce86324bebf44cbe6343631189932,SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
885871cd47edd517d0898dd9c9552d37,456198ab9e9c39b2d716e6650dccb660,APPLE,IPHONE 4 (A1332),iOS,Apple
f03a3d2e29846e1125259852918e9be5,aeb43556a54582c33ef783a52afdd8ff,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
64a459e5be60e9f16e9a8d7c725681e8,6dca263723c9a6bff8a88db631aa24d0,SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
f42e4f445ac0537bdd146517159dec5b,028d4f730245a7bd3a948c228b8aff97,AAMRA,WE B2,Android,Google
3b3f6ea914ecbf25525785fc79e28baa,7d3eb13234a1ab38c4016f4a4ec650bd,SAMSUNG,GALAXY C7 (SM-C7000),Android,Google
14f23101b2b5198d4c549f59f6dba7f9,92eb976b41de5b5070973c637d6bfeb7,SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570Y DS),Android,Google
6207340895367d77a18b64b1cb756335,151082ce9ce8e4c638d8e45ccc028baf,SAMSUNG,GALAXY GRAND PRIME VE DUOS LTE (SM-G531H DD),Android,Google
51f9ed2dd10ff41b03add6d1653ddcc4,d625f2751de4b11c1b3f11daa8124eb5,SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
f1daebdab22428f2f78675ea67f59b5a,c395eac49569e6741faf98284aef725c,SYMPHONY,B13,,
b19c7900e75b97b950c120cc5611dd46,4bd71c37e7ed0dfe6f5a770e694bed29,SAMSUNG,GALAXY A7 LTE-A (SM-A700FD),Android,Google
1e4eac7b94d99da4afc12e0f8eb0727f,7e2931323bde89e32d0d5696345ad284,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
f4d79c32807fe4526a03061855b5f230,8d86b4911ce56087fee74f57f9dd8c20,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
88d27510adcb3b9414f07bfe7688a0d3,f6028db2c8618fb1498527636dbe176a,SYMPHONY,B17,,
50b3af35079780fd14b8fdd915c9f41e,40157de080efdcac6e8b9fce74f5e282,XIAOMI,REDMI NOTE 4 (2016102),Android,Google
6624c9f3e7703cb9539e46e89e61971d,a79c4e9576298cab2a5316a3dd4de4a2,SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
ff93c8f05ba91d825a8bd902ca419b3a,540e7f49e3b0009ac2f7d7ddb0bf511a,SYMPHONY,T160,,
1261b39ef58a43b887e6e4cb6527ddde,8941911d6dc6a6dd0bcf2e84b808166c,SAMSUNG,GALAXY ON7 DUOS TD-LTE (SM-G610F),Android,Google
2517372b34c70d7253092278001a4e9d,445035141fa0d21fc9cc160f0355634b,SYMPHONY,I10,Android,Google
563f600301966e5b6197929d97c9bb43,4585b775d0a068db8f8f5c07a09659a5,HUAWEI,P20 LITE (ANE-LX2),Android,Google
31754423247dc6256def724b84001690,a838d0b67fc0def966d330b8e9c3f638,OPPO,A37 (A37FW),Android,Google
f19393e7659134fd1c2ed79aa19fdcf5,1acf2e69695b9ac369e112d0f9e18419,WINMAX,"WX82 WX83,WX90,WX91",Android,Google
d74b048fc4c881e155bc7173a2286e09,921f1b7ef3fdf84a5fb031292f0a313b,LAVA,DISCOVER NEO,SPREADTRUM OS,SPREADTRUM
7415bf33e0447ecd1f59c9d3005c03b8,35620aaa06fe766388f63a638fa0cd91,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
0d9777144e11856aeab0f8e4019e0ced,19174437d67408b1722b29f2800f09a2,HUAWEI,Y6II (CAM-L21),Android,Google
d97472d7406750d6d236bc5ca0d7b054,2dabf8088b707c7575c7db324d227b5d,SYMPHONY,BL65,,
dae725b4da788e4b5a739ebc8c80df30,d43a093b99093017e7ed911cb9e1a020,LAVA,IRIS 870,Android,Google
efd4c83fe6c1e560900f07f6a2613330,9827ac5005733e46bd5ca592b6aed076,SAMSUNG,GALAXY J2 DUOS (SM-J200H),Android,Google
6235e7b16eef123f55d5a9239fe3cf07,03989b317df16f4786814fee50c9d585,DARAGO,"301,I6,V1,V60,108",Proprietary OS,Proprietary OS
cc3a902d3e7e55cc4c051fd8af3398a1,e521c3f7a7ecdd67e2d4394df6dcb91c,SAMSUNG,GALAXY J7 DUOS LTE (SM-J710FN),Android,Google
661db89e79ae7e6e834fda164282afa4,5576b76dc41e211728cb406b13b5c30f,NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
d49a7b87016a8065f13ce1cef089ec6a,bf4a73847de0b58802bec282454fea4d,SYMPHONY,P6 PRO,Android,Google
cb5e24be90060bcefa1a2a00896b8393,bc6fd28e3790342ed003cdc5c1dac81e,SYMPHONY,E58,Android,Google
d37d7d76bbbd6242308fe4fc8a435ab4,24a2ddb18a0b4cfa6c8d173e83616f05,WESTERN,"D2, D3, D4, D5",Proprietary OS,Proprietary OS
715e51c5f40883c89fa09f0c05e0b419,b52033c96b3656259e2921186b1144ab,HUAWEI,Y5 (2017),Android,Google
97d6aae78c375f96d640f98bd86016d4,8bfbcaa7da0549165389ae31159228b6,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
67a0caccea02f67592bff5e017731081,3bea0f0d9662b6fd9177a0194c53f782,NOKIA,150 DUAL SIM,,NOKIA
267780d74ffc130934be03d2b0f06604,fae2dccac5e70e605facad60192ba7be,NOKIA,215 DUAL SIM,Symbian OS,Symbian
c746cb00b493349dc57f16474dd8bba0,be8601eeba4c31fee79750f4345afd45,HUAWEI,GT3 (NMO-L31),Android,Google
b8dd469bad15b582a7ebe87f5c6e7dfe,ec8d6d1f63ac724f517000ca31b029fc,OPPO,CPH1609,Android,Google
8b7539630b7b8a89b327e0399629e1a9,157ab71eb007998f57292ac5b8bcbdf1,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
9adec9f19055baaf5b903e993987556c,ce0c695f3a2c0ebf1d0855526eaed361,APPLE,IPHONE 7 (A1778),iOS,Apple
a19337f6ed7d2fcfc8f9705eb969a01c,7da0e60dc8e2156e6e21d2e76eefcf62,NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
3892735cc6e2f1cd7eac3d184bb59a69,2f62e91a8ab073bd3a2a0c7bcf7a342e,LITEEL,LT2407,,
052ef6c448beff4c7b17f6eab6f1106f,1269194ee612dea34cf4ab49a36c6e67,SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google
801d78af423aaf7c0dc484e31880b76e,d915ccc3169fcd92e3273f33af330e20,SAMSUNG,GALAXY J1 MINI (SM-J105B DS),Android,Google
789f7a30e46ae45e05d58688c53ba90b,a171ced71cff9c964354561a8af2c877,NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian
cea28c423723af21a58ac5b8564a5a56,da1718e2c3a2ce81f102d9b1ee695336,SYMPHONY,"T7 PRO, D24, W75, W94",Android,Google
16f310ed95fd87560e01e27406fffb34,d1a8717308edc95eadf4fa519acaf002,NOKIA,105 (RM-1134),Symbian OS,Symbian
8ebcec75f2f9cfa09bf9f24b52bee03a,76b85087941aa96acb314fd0b1d2f051,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
9eb6e7dd66186ea65b9bf578523ce261,e7ca3dfd2079f2f6ee3dafd09980e068,OPPO,A57,Android,Google
6afae14731fe0abae25c925db3867a4f,268edc19c4e7775fcceeff25adfb81d0,,,,
230e65ac08926339604334aee9ccd788,9025d7adfc250f6b692ff83fee676c5a,HUAWEI,Y3 (CRO-U00),Android,Google
e9226205e761700ca51be01f58028678,c11b65d7c4da35ae7ea8182078953df0,SYMPHONY,V110,Android,Google
a94a9cc094291cfd8008a2c147ed02b1,54a13555b920a2e3202398d220985d74,NOKIA,6270,ISA,NOKIA
c3b01930283f343092db2bdd71bd1c87,bb287b9dfe87016abbcc27025fc8a85e,MYCELL,C2,,
9e264d996f92b0e2346dbeaa7ef278cb,70a7607817808328fa4eff143bbdc5d4,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
95f088f755d3c11550b9f1ed184b4210,0d6b71468145370502c728c96acb1ce3,SYMPHONY,"W15I, W31, D32I",Android,Google
6a6aa12cee7c831e7bc058864f3113f1,11d9b75cfe2921f27b96bb98448d6af8,OKAPIA,G3,,
fe87da7ab934b4d602710dfd83e05341,b8b2ce87a0487029f82f496b7b7cd08c,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
fd0fc4f54d80a294d24b014175e94744,00fee679f6ac8a4bdd10e211c86ce6d3,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
69c89d9d030bab5932a4ef4aa13e9d98,4f58b3047c1f770decbafae2e3356f7a,OPPO,CPH1803,Android,Google
7b7c649ba06e14b811e1c42d9553804c,a19a83e52fdd167323e4aba56d7ab7e1,SONYERICSSON,XPERIA T,Android,Google
77d29c7f5494e5de9cb9d7b80d15d0e8,27cec7bcf0f9233a03c510f9e911afb9,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
f7ce18d5d5cb487b226e82968af6a30d,b1d0229373eefd18c6518732b7f57cbc,SAMSUNG,GALAXY ON7 PRO (SM-G615F DS),Android,Google
69427b163391f3c66e63e1486dcee08d,552011a6ac0425d5494fee3acc773181,WALTON DIGI-TECH,PRIMO E8I,Android,Google
ae31ff1a95105f79fdbb457e513fb7b4,41cf43a241734cab93e27cc494c6d794,NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
54389c404b21eb846acd0734dd77a453,3db8974ddbbae504928fb20ed46f2330,SMART,S-36,,
b9087f67d631c37295fd10a7f5f3562b,7aa1b0607c6e8c80da433d318705f00b,HUAWEI,HONOR 7X (BND-L21),Android,Google
161dda4e31246ca5dc44e9c626b9e7c0,d85c9379fdf0ef707388f2e9f5199a6b,SYMPHONY,L16,,
07cd09840cdcfce727966933f90f60f0,a4c5ede5c6bba04766c46fcc595ad163,NOKIA,225 DUAL SIM (RM-1011),Series40,Symbian
41564dadcd88ded800b95472231c4ec9,b04d121a9aa573a19e78944d24d7683d,SYMPHONY,V120,Android,Google
27669616bf9c114b7e5ff9cfa75d1f57,d8244279afc0a91870a481c6a097710f,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
54ad3da088449184de94edf0c8fdc158,dd2c2a9abdcf1665c53f32dbb5cb386b,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
2e7d109c8f40bafd5cdf8e0a90224dfd,d03a7ab9f7e78b3cba4f719a740cf139,SYMPHONY,P6,Android,Google
db4cd61d84d452f9a5069a4ab53f8d22,63497efe88a050a2c4bf33d563d21172,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
b5e81a9d6715d94f17d28e00c1d67575,25307c186dfcd86916eaae1a88239369,WINMAX,MH23,,
17212a59fb7b55a67f922974c8e37ab6,7664583ddfadb8d4f537ccedaed08186,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
23ddef46c6b6b95dc19fcaeb01d6b7a4,a935bac4997d19c79a8d6d7f5d0a6f93,,,,
5605af5b9e8b09abae3a917abb4f6146,dc93459f86a43d0b30566b7abb0e3168,SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
ad15a57caa5e1a87d98c6b36b3fb6eac,3bea3687d1bae1016df6e16bc87c39a1,MICROMAX,X088 PLUS,,
39ee25e77398ff57ee6109736bf09bb1,ad64368ee3ee572f421dc2029b5766c4,WALTON,OLVIO L7,,
99a2c3b2f7a8b29f2186efbd3ca749a0,46dab02125a8d1a5ca4dade98684d470,NOKIA,1100,Symbian OS,Symbian
40b6d3ca1166e7698567f615ccac55b7,6cd2b1e50c16a4627285aeddeec45377,SYMPHONY,"B11, L30, D31",Proprietary OS,Proprietary OS
9e77c006d14b5e98876e4737ff8e95fe,82fad2455ea7a7476d581129b9ddb1d3,SYMPHONY,V42,,
5ef9e9e98ed27e04dd3722097a714e24,cd1736f75ef6a8ffff1a02107924a1cc,G-PHONE,GP21,,
da6052afc10372800af871e3ad6ef855,41c31b1cc40bbacf0fc5dc57a7cc38a1,SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
ece56279831202384a33d90089196c8c,690eafa3fc0f4ee64de91288d39dfd93,NOKIA,215 DUAL SIM,Symbian OS,Symbian
165efc9644c7bb79ac913a4d64b8697c,ad64368ee3ee572f421dc2029b5766c4,WALTON,OLVIO L7,,
6b9c198b94cf225cae5e1d8d67d6a97d,8e8053dc411094652657c970e0909a0d,SYMPHONY,T105,,
0a48e1f5c0242d88b0d4f22fec163491,5fc6ae25a554d04bf22b4c71ebd68d22,SAMSUNG,GALAXY J5 2016 (SM-J510F DS),Android,Google
586469fadbf7e50c950c317a075502cf,f2a1f5abed7f58d125cac0ae1fbac437,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
b833071d8ed055c2382a6583430439de,5e264d98804664d75078f9b4bfbdf280,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
ae4a75e2e888d6cf6415cd242d69db29,535b5c3dbc2f2acb8c2fd834b9b6ce8a,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
e25028c1458a803541ae6968475aba6e,3441664490dce5d77ed39b819bf4387c,SAMSUNG,"GALAXY S DUOS (GT-S7562,GT-S7566)",Android,Google
387d5009f6a8988f33c129ce39474bd9,0717d6a82bafa4d20c4c26fa9b43cd02,MOTOROLA,MOTO E (4TH GEN),Android,Google
2b02c557611d7bd2e889107cf1dbc71c,f1c07d410dbd05d1ae0a8367170435c9,XIAOMI,MI A2 LITE (M1805D1SG),Android,Google
693d25748c684dfd757af7035dbecc15,b6ef9b4ab2d433948184e75267445a60,HUAWEI,Y3II (LUA-U22),Android,Google
436931100e583e192558c02f2cce7f96,76752ba00c3bc923b1b8f1d9c126fd2b,SYMPHONY,R20,Android,Google
36057b6b497bed58730a4a94f122187b,c6da9c79b1355c512936627200d2a411,SAMSUNG,GALAXY J7 PRIME2 (SM-G611F DS),Android,Google
d766d8f76cc8385fd72a5ffcd509d169,619ad2b96db927fbdf44a488894ad248,SYMPHONY,"T80, S200, W14, M44",Proprietary OS,Proprietary OS
82aad99281b91766a4736885ad21a1aa,be72759939640427b4c9c350a689c52b,SYMPHONY,V75,Android,Google
3db6390b4098a7d5a83eb6fad078b741,95721c2f55e4ee58e86a12de330d5d7b,KECHAO,K66 PLUS,,
1a8de7b8bbc92ae01324e6714680b669,1257d95f7208d593f05e9465f04146ea,SYMPHONY,ROAR V95,,
7a85a2fe4579ceec3f8eb3d8f012e17f,4e6e1f4fe6d741ef0e14a13aa833895c,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
94f201f3598a0c6529c1c159fae7058d,f4c7ff4779df46e274ebd214f8daa9a1,HUAWEI,P10 LITE (WAS-LX1A),Android,Google
124a86784f76b14b3190b8113648a431,748521fc6047b48b98123b406f8fd433,SYMPHONY,B12I,,
1f2ef539ec71e349af01ead7d841f30d,ca772930521b2bfbc83808fe5a9cf660,NOKIA,105 DS (TA-1034),Symbian OS,Symbian
eb3a9b1c4f47189652013c43d5ea3bd2,f989b2cda580922776d888c3cce26836,SAMSUNG,GALAXY S9 PLUS (SM-G965F DS),Android,Google
0b071a0e9f1f17cf4028d18df2c5d814,cbcb58b79a7d1b7028ff8cc271e6860e,SYMPHONY,D101,,
bedf020332e29451538e41530321647f,9025d7adfc250f6b692ff83fee676c5a,HUAWEI,Y3 (CRO-U00),Android,Google
260b44430dde43332a679951b8a5adfc,1b0fb54f288f50f45fae0f6a6dbee36a,NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
334c01ccb9c12dbcc8d5aca61a225808,e2b3cc1f5464ec696f5817c288ebe578,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
4818cace5d4423e1615789560f9dd4cf,391483644108db7363438aa69b7c6498,SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
bb573dae3d066c7af88950c5dd0fdb36,9db82d1d29aa619dd3a891fac03b2d61,NOKIA,2610,Symbian OS,Symbian
49eccbf4ee40d3e7f1548c16645cf7fe,fe053b2d6c8ab0da07b1e422e4330668,LAVA,IRIS X9,Android,Google
aeb13d0a964e939d1d44995db954f3af,21569d9b8f1c6ee289b4dfbd41a1cff2,NOKIA,"1280, 1282",Symbian OS,Symbian
75ce4de5b8853fefe2ba617ab921224e,836502880b3c0906c12fb4ef4f7fb206,HUAWEI,NOVA 2I (RNE-L22),Android,Google
928318eb3abf4625ef86539a5978a003,542020b1ac420ca23e15125041edb055,NOKIA,130 DS (TA-1017),Proprietary OS,Proprietary OS
ee39fe2d4389eab36b50859fb1ff0864,1788ef704b266038a6c0a67b74a8bd70,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
c13093cdb57c486199ecfbab23571866,eb87da58ea1f5b9c0fdae4d308bb42c0,WALTON,OLVIO ML7,,
a6286070cbbe37dba32b80afae868897,472357714ec6131c1db18838dbb90ac1,KINGSTAR,"M4,X1",,
e7f15979dbdeefb0d7ccb3327fbfe46a,9025d7adfc250f6b692ff83fee676c5a,HUAWEI,Y3 (CRO-U00),Android,Google
e14db66a0c6ec32cb475132cc110d0d1,00fee679f6ac8a4bdd10e211c86ce6d3,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
2970f96a21a78134eb7dcdfcb04a9691,5b72f354188bd0bab3c787600e9005b7,SYMPHONY,M150,,
937068497a2e64e67ab5840917e7dccc,13b33317a9f93e755d9284650703b4a6,HUAWEI,ENJOY 5 DUAL SIM TD-LTE (TIT-AL00),Android,Google
91f2734c0627bfcf6e75a0320f1202a1,1b93d28eab34f728968b9d2ab4be8834,SAMSUNG,GALAXY J7 DUOS LTE (SM-J710FN DD),Android,Google
7dfdbc05ba69d7474d4d4104116afd7d,e0618a03acd1fa682b8d42bdac7836d5,SYMPHONY,"T100, L22, B14",Proprietary OS,Proprietary OS
3ee2e791d26cd6f7648a5e556b4b1647,3bea3687d1bae1016df6e16bc87c39a1,MICROMAX,X088 PLUS,,
c28dd667a450375a4d7a3d40e9899e8e,3b8972792853a53a27eecd2c8247c2cc,FIVE STAR,"A101,A102,A103,A104,A105",Proprietary OS,Proprietary OS
742dba0200c3bf9897ff754556d74b78,c60e1d44a75bec6f66d1d7c53a895804,SAMSUNG,SGH-B110E,Samsung OS,Samsung
e616b6367496dec698954fac662875e9,6ad2cef502a017fb6fc6ca24eb59f3bb,LINNEX ELECTRONICS,LE28 (LINNEX LE28),,
d9ef36c401149f6b0908decec7eed77f,a3bce25ea448ff0aaec9566d43deb18f,SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
30d5a8dae4e8a7cf0766f4552a60d166,3d869d59c6c3bfacf0108a5202d3e5d1,WALTON,"PRIMO G5, HM, E4, F5, H4",Android,Google
9e1f5f2f5c5bbe56af0d107a5056a11c,c2c55d239eb7d9868abe88e54eb6c46b,SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
4d5acbab1627bdf119532ddc558d6eae,31e9bd461d370ebc7261deb833936774,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
5c1a6374609f464599594e189d490222,40c4a81d30666f647e8be9617b5639a6,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
7644583b0adc7a835d28211dba59e5ed,b8756e191bbbf539c2d96751e0649194,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
d87686c37287f34f52ae6b0c6a06b84f,1a96f892b6b7944555e5e4454f81b1df,SYMPHONY,I60,,
12b132a4a1d7c8a562055b502a312c0a,51c266c5b805b9dc1438ea58b35eb125,LAVA,IRIS 820,Android,Google
d937609271b9122681100b8276ae2644,20b38a21a3c2b6341bfc53a788ff8f3e,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
75abb1a04c92b1f5ea8896dce7a10cd9,019c715f8b8543fdfc2b5b2230a4f2b5,HUAWEI,Y336,Android,Google
a7f03052ca3d84ccaf0873921a78cbe2,f6cb438228163a8bb01a118a54bd6a1b,LAVA,IRIS 50,Android,Google
41f729926d4f3edfbbc53b6bc72a08f5,5f9648949e593d4b277c73d087fccab1,SYMPHONY,"E10, E60, ZVI",Android,Google
3fe1d7b82ce28b9c52fa4ca840dfd819,63b0183aeebb6694d5f49f3db005b5de,LG,K10 (K430DSY),Android,Google
1893e835a2188312d03744d3e1b4cd1b,0557bc284635d29723d0c33aead43b66,SYMPHONY,A10,,
d952165c0b11a7f480c74a4e94b7aa34,4680d5a6f9dc414c73455a27f8bd46db,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
e18858fe1030384aa019cda8470eefdc,39fbaac76133aa07c15657dfd19c1bf5,SONYERICSSON,XPERIA Z5 COMPACT TD-LTE (E5823),Android,Google
b5be868a041d4fd1a823d401484341f9,63497efe88a050a2c4bf33d563d21172,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
02199950597dc6a12df7dfc7d128aa75,d9497a418d49810ba3d53f2ae67e927d,APPLE,IPHONE 6S PLUS (A1687),iOS,Apple
9d9521e131fbfaeed4bbd567233408dd,08dff4d42b781bb0791b4c8be4486775,NOKIA,1208,Symbian OS,Symbian
81ed1a07d8434ccdf842e6335752aa30,b4682c8aa97b141c1639060dbe6dcf46,AAMRA,WE T1,Android,Google
3f402670d3452a588d848a226832f5d2,28e370e2fa1670d125f37345126f1fc4,LG,G3 DUAL SIM TD-LTE (D858HK),Android,Google
ace3f861c44b13cc85107fff84dfa1de,c11b65d7c4da35ae7ea8182078953df0,SYMPHONY,V110,Android,Google
60ea015871ffc8f6f06590f24bede556,7101c874645180354ffdc292d3dc8ce2,OPPO,F3 PLUS (CPH1613),Android,Google
8f0ed4f664997ee69387cc7b9925ce67,9a20ed3062cf1390f24a7497da2a4b0f,RAJON,"FIVESTAR B-56, B-66, B-76, B-86, B-96",BADA,Samsung
34471b0895d77e3a08a65d6c2268e61d,17ee7ad1f4f2fddde683896d4420a3dc,XIAOMI,REDMI 5A (MCG3B),Android,Google
0908c70b2e87d02402fbcb7510557dbd,261181addf07659be6652f4638a94703,SYMPHONY,V85,,
03ea4c8dafe33031cf8c33f82a19b9b7,18144e4ea390c34448ff3d0e2fa7dd78,SAMSUNG,GALAXY GRAND PRIME (SM-G530H DV),Android,Google
a37ec854e47174c66dc0df1320713881,4cb18d6bc609443886396436a5e8f218,NOKIA,2690,Symbian OS,Symbian
d8fd4237f95afd1b95491a364b6e64c5,e4689599e66e0a454e76a7ae8d67d31a,SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung
7f8e6ea962b75a42f560f3d407cb89a0,253c916dbe836085fa2b768812687c94,NOKIA,"ASHA 300, 3000 GRAPHITE",Series40,Symbian
c2833ffd6a854ef5bbe6667985a9fc7f,d0066bc769feeb55225a63f325ea8370,SAMSUNG,GALAXY FAME (GT-S6810P),Android,Google
97bd3a199548331c4cdd19882a223e8d,0d182646774c7be4fde310be4346c5f8,XIAOMI,REDMI NOTE 2,Android,Google
66765ed65e0574161ee1deb84d5fb2e8,5793b3c214e9e68c6af710a1b9c30761,JIN HUI MA,V11,Android,Google
7e17cba4ee59690fe021902e4ae4aba3,8bfbcaa7da0549165389ae31159228b6,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
eaf1b8656a1133811de47607f73782b4,382de4619d578d5ce6fffd3d85a18610,SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
45eaef1d41cb7d8e8cdfbcaf4514729a,00fe8baceebdf297ea146f909f58050a,G-PHONE,"GP14,GP15,GP16,T66,T77",Proprietary OS,Proprietary OS
8ce30fdce26c4698844f44ac16bc2546,0e4e6fb3550da3d03c6f3a1c53574c33,SAMSUNG,GALAXY A5 DUOS (SM-A500H DS),Android,Google
2f8d7538db08bd5cd71b5bc6421d7c98,c3bf309902187578ed18b0ddf22fc6cb,SYMPHONY,H120,Android,Google
